,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
69,Psycho-Pass,2012–2019,"Animation,Action,Crime",25,8.2,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this perfect system, she questions both Sibyl and herself.","21,256"
70,Classroom of the Elite,2017–OA,"Animation,Drama,Thriller",24,7.7,"When Kiyotaka enters government-sponsored elite high school, he finds out just how merit-based this education system is.","10,985"
71,Vampire Hunter D: Bloodlust,2000,"Animation,Action,Drama",103,7.6,"A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family.","34,387"
72,The Cat Returns,2002,"Animation,Adventure,Comedy",75,7.1,"After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life.","61,336"
73,Record of Ragnarok,2021–OA,"Animation,Action,Adventure",24,6.4,"Every 1000 years, the Gods' Council assemble to decide the fate of humanity. After 7 million years of human history, the gods come to the decision that humans are irredeemable and must be extinct.","8,087"
74,Hellsing Ultimate,2006–2012,"Animation,Action,Fantasy",50,8.2,"The vampire Alucard, his master Sir Integra Fairbrook Wingates Hellsing, and his newly sired ward Seras Victoria, try to protect England from a war-crazed SS-Major who seeks to start an eternal war with his vampire army.","25,506"
75,Akame ga Kill!,2014,"Animation,Action,Adventure",24,7.8,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,"27,856"
76,Elfen Lied,2004,"Animation,Action,Drama",24,7.9,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality.","35,649"
77,Fire Force,2019–OA,"Animation,Action,Drama",23,7.6,A superhuman firefighter force is formed to deal with supernatural fire incidents.,"9,954"
78,Porco Rosso,1992,"Animation,Adventure,Comedy",94,7.7,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.","96,826"
79,Redo of Healer,2021,"Animation,Action,Adventure",24,6.4,"Keyaru is a healing magician who is sexually abused repeatedly by others. Using his healing magic, he goes back four years into the past to get revenge on the ones who abused him.","4,353"
80,Prison School,2015–2016,"Animation,Comedy",24,7.6,"Hachimitsu Academy, once an all-girls school, has become co-ed, and teen Kiyoshi is one of five boys to enroll. When he is caught peeping, Kiyoshi is sent to the schools prison, where his punishment is carried out.","7,011"
81,Dota: Dragon's Blood,2021–OA,"Animation,Action,Adventure",25,7.7,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","20,937"
82,My Dress-Up Darling,2022,"Animation,Comedy,Romance",24,8.0,"Traumatized by a childhood incident with a friend who took exception to his love of traditional dolls, doll-artisan hopeful Wakana Gojou passes his days as a loner, finding solace in a room at his high school.","12,061"
83,Ninja Scroll,1993,"Animation,Action,Adventure",94,7.8,A vagabond swordsman is aided by a kunoichi and a spy in battling a demonic clan of killers - led by a ghost from his past - who are bent on overthrowing the Tokugawa Shogunate.,"39,527"
84,Serial Experiments Lain,1998,"Animation,Drama,Horror",316,8.1,"Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired"".","16,050"
85,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015–OA,"Animation,Action,Adventure",24,7.4,"In the city of Orario, where adventurers hunt monsters in a place called Dungeon, Bell Cranel's life was saved by a swordswoman, who has then become the source of Bell's determination to get stronger.","9,658"
86,Tales from Earthsea,2006,"Animation,Adventure,Fantasy",115,6.3,"In a mythical land, a man and a young boy investigate a series of unusual occurrences.","42,544"
87,The Rising of the Shield Hero,2019–OA,"Animation,Action,Adventure",24,7.9,"A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom.","15,910"
88,Dororo,2019,"Animation,Action,Adventure",30,8.3,"A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his.","17,908"
89,The Tale of The Princess Kaguya,2013,"Animation,Drama,Family",137,8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","51,209"
